Technique ID,CAPEC ID
T1070,CAPEC-268
T1070,CAPEC-125
T1070,CAPEC-130
T1070,CAPEC-227
T1070,CAPEC-131
T1543,CAPEC-551
T1543,CAPEC-550
T1499,CAPEC-227
T1499,CAPEC-125
T1499,CAPEC-131
T1610,CAPEC-560
T1530,CAPEC-150
T1036.005,CAPEC-616
T1036.005,CAPEC-543
T1528,CAPEC-21
T1046,CAPEC-300
T1078,CAPEC-560
T1611,CAPEC-480
T1133,CAPEC-555
T1496,CAPEC-93
T1195.002,CAPEC-442
T1195.002,CAPEC-678
T1195.002,CAPEC-186
T1195.002,CAPEC-523
T1195.002,CAPEC-443
T1195.002,CAPEC-673
T1195.002,CAPEC-691
T1195.002,CAPEC-669
T1036,CAPEC-177
